Geo Point;Geo Shape;gml_id;GID;GEOM_O;IDENT;NUMERO;GROUPE;NUMORDRE;LIBELLE;VEHICULE;SOURCE;TYPE;ACTIF;VOIRIE;INSEE;CDATE;MDATE
44.879203, -0.60245;"{""coordinates"": [-0.60245, 44.879203], ""type"": ""Point""}";SV_ARRET_P.4021;4021;0;T_AUS_R;7714;T_AUS;2;Ausone;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33075;2016-12-17T01:00:00+01:00;2016-12-17T01:00:00+01:00
44.864061, -0.524865;"{""coordinates"": [-0.524865, 44.864061], ""type"": ""Point""}";SV_ARRET_P.3802;3802;0;T_BUTINI_R;3692;T_BUTINI;2;Buttiniere;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33249;2003-12-21T01:00:00+01:00;2003-12-21T01:00:00+01:00
44.861063, -0.600516;"{""coordinates"": [-0.600516, 44.861063], ""type"": ""Point""}";SV_ARRET_P.4040;4040;0;T_CALYPS_R;8329;T_CALYPS;2;Calypso;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33069;2019-12-14T01:00:00+01:00;2019-12-14T01:00:00+01:00
44.854706, -0.574464;"{""coordinates"": [-0.574464, 44.854706], ""type"": ""Point""}";SV_ARRET_P.3939;3939;0;T_GODARD_A;5398;T_GODARD;1;Camille Godard;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33063;2007-11-19T01:00:00+01:00;2007-11-19T01:00:00+01:00
44.800359, -0.634755;"{""coordinates"": [-0.634755, 44.800359], ""type"": ""Point""}";SV_ARRET_P.3922;3922;0;T_CAMPO_R;5246;T_CAMPO;2;Camponac Mediatheque;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33318;2007-05-29T02:00:00+02:00;2007-05-29T02:00:00+02:00
44.84908, -0.57049;"{""coordinates"": [-0.57049, 44.84908], ""type"": ""Point""}";SV_ARRET_P.3925;3925;0;T_CAPC_R;5252;T_CAPC;2;Capc Musee D'Art Contemporain;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33063;2007-07-23T02:00:00+02:00;2007-07-23T02:00:00+02:00
44.852792, -0.567649;"{""coordinates"": [-0.567649, 44.852792], ""type"": ""Point""}";SV_ARRET_P.3927;3927;0;T_CHART_R;5254;T_CHART;2;Chartrons;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33063;2007-07-23T02:00:00+02:00;2007-07-23T02:00:00+02:00
44.793017, -0.646548;"{""coordinates"": [-0.646548, 44.793017], ""type"": ""Point""}";SV_ARRET_P.4007;4007;0;T_CHATAI_A;7432;T_CHATAI;1;Chataigneraie;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33318;2015-06-22T02:00:00+02:00;2015-06-22T02:00:00+02:00
44.793034, -0.64668;"{""coordinates"": [-0.64668, 44.793034], ""type"": ""Point""}";SV_ARRET_P.4006;4006;0;T_CHATAI_R;7431;T_CHATAI;2;Chataigneraie;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33318;2015-06-22T02:00:00+02:00;2015-06-22T02:00:00+02:00
44.877872, -0.543802;"{""coordinates"": [-0.543802, 44.877872], ""type"": ""Point""}";SV_ARRET_P.3969;3969;0;T_CLAVO_V1;5534;T_CLAVO;1;Claveau;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33063;2008-10-20T02:00:00+02:00;2008-10-20T02:00:00+02:00
44.856578, -0.596933;"{""coordinates"": [-0.596933, 44.856578], ""type"": ""Point""}";SV_ARRET_P.4038;4038;0;T_COURB_R;8327;T_COURB;2;Courbet;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33069;2019-12-14T01:00:00+01:00;2019-12-14T01:00:00+01:00
44.800281, -0.609662;"{""coordinates"": [-0.609662, 44.800281], ""type"": ""Point""}";SV_ARRET_P.3840;3840;0;T_DOYEN_R;3734;T_DOYEN;2;Doyen Brus;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33318;2004-07-03T02:00:00+02:00;2004-07-03T02:00:00+02:00
44.800283, -0.609604;"{""coordinates"": [-0.609604, 44.800283], ""type"": ""Point""}";SV_ARRET_P.3839;3839;0;T_DOYEN_A;3733;T_DOYEN;1;Doyen Brus;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33318;2004-07-03T02:00:00+02:00;2004-07-03T02:00:00+02:00
44.858679, -0.574879;"{""coordinates"": [-0.574879, 44.858679], ""type"": ""Point""}";SV_ARRET_P.3941;3941;0;T_EMILE_A;5400;T_EMILE;1;Emile Counord;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33063;2007-11-19T01:00:00+01:00;2007-11-19T01:00:00+01:00
44.845904, -0.510404;"{""coordinates"": [-0.510404, 44.845904], ""type"": ""Point""}";SV_ARRET_P.3902;3902;0;T_DRAVE_V1;5217;T_DRAVE;1;Floirac Dravemont;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33167;2007-02-27T01:00:00+01:00;2007-02-27T01:00:00+01:00
44.826627, -0.62557;"{""coordinates"": [-0.62557, 44.826627], ""type"": ""Point""}";SV_ARRET_P.3909;3909;0;T_ARLAC_R;5233;T_ARLAC;2;Fontaine D'Arlac;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33281;2007-06-21T02:00:00+02:00;2007-06-21T02:00:00+02:00
44.803508, -0.60671;"{""coordinates"": [-0.60671, 44.803508], ""type"": ""Point""}";SV_ARRET_P.3841;3841;0;T_BORDES_A;3735;T_BORDES;1;Francois Bordes;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33318;2004-07-03T02:00:00+02:00;2004-07-03T02:00:00+02:00
